Amount,transaction_hour,high_value,is_fraud,risk_score
149.62,0,0,0,1
2.69,0,0,0,1
378.66,0,0,0,1
123.5,0,0,0,1
69.99,0,0,0,1
3.67,0,0,0,1
4.99,0,0,0,1
40.8,0,0,0,1
93.2,0,0,0,1
3.68,0,0,0,1
7.8,0,0,0,1
9.99,0,0,0,1
121.5,0,0,0,1
27.5,0,0,0,1
58.8,0,0,0,1
15.99,0,0,0,1
12.99,0,0,0,1
0.89,0,0,0,1
46.8,0,0,0,1
5.0,0,0,0,1
231.71,0,0,0,1
34.09,0,0,0,1
2.28,0,0,0,1
22.75,0,0,0,1
0.89,0,0,0,1
26.43,0,0,0,1
41.88,0,0,0,1
16.0,0,0,0,1
33.0,0,0,0,1
12.99,0,0,0,1
17.28,0,0,0,1
4.45,0,0,0,1
6.14,0,0,0,1
6.14,0,0,0,1
1.77,0,0,0,1
1.77,0,0,0,1
30.49,0,0,0,1
1.8,0,0,0,1
20.53,0,0,0,1
6.54,0,0,0,1
29.89,0,0,0,1
2.35,0,0,0,1
14.8,0,0,0,1
9.1,0,0,0,1
15.99,0,0,0,1
21.34,0,0,0,1
18.95,0,0,0,1
9.99,0,0,0,1
30.9,0,0,0,1
20.22,0,0,0,1
0.99,0,0,0,1
1402.95,0,0,0,1
7.99,0,0,0,1
2.09,0,0,0,1
0.99,0,0,0,1
21.76,0,0,0,1
120.96,0,0,0,1
13.84,0,0,0,1
13.84,0,0,0,1
2.67,0,0,0,1
169.05,0,0,0,1
96.94,0,0,0,1
34.13,0,0,0,1
32.51,0,0,0,1
243.66,0,0,0,1
21.55,0,0,0,1
59.9,0,0,0,1
0.75,0,0,0,1
45.71,0,0,0,1
35.0,0,0,0,1
67.97,0,0,0,1
11.45,0,0,0,1
3.63,0,0,0,1
21.66,0,0,0,1
26.72,0,0,0,1
13.18,0,0,0,1
59.99,0,0,0,1
135.51,0,0,0,1
9.79,0,0,0,1
14.8,0,0,0,1
1.98,0,0,0,1
6.67,0,0,0,1
1.46,0,0,0,1
89.17,0,0,0,1
7.53,0,0,0,1
200.01,0,0,0,1
0.76,0,0,0,1
20.22,0,0,0,1
10.84,0,0,0,1
1142.02,0,0,0,1
149.9,0,0,0,1
89.4,0,0,0,1
26.72,0,0,0,1
5.99,0,0,0,1
34.7,0,0,0,1
54.99,0,0,0,1
7.55,0,0,0,1
19.85,0,0,0,1
28.28,0,0,0,1
15.99,0,0,0,1
2.69,0,0,0,1
22.36,0,0,0,1
0.78,0,0,0,1
168.56,0,0,0,1
0.76,0,0,0,1
9.47,0,0,0,1
21.8,0,0,0,1
14.48,0,0,0,1
1.0,0,0,0,1
1.0,0,0,0,1
70.6,0,0,0,1
19.77,0,0,0,1
1.18,0,0,0,1
1.18,0,0,0,1
1.18,0,0,0,1
1.18,0,0,0,1
81.13,0,0,0,1
50.0,0,0,0,1
86.43,0,0,0,1
11.83,0,0,0,1
